类型,,制造商,模型,最高速度,平均成本,安全评级,燃料类型
汽车,丰田,,卡罗拉,180 km/h,"$20,000",5 星,汽油
电动自行车,特斯拉,,Model X Bike,25 km/h,$800,-,电
高速列车,法国国家铁路公司,,TGV Duplex,320 km/h,$100 million,5 星,电
"",项目,,信息
产品类型,,智能手机,
品牌,,苹果,
型号,,iPhone 13,
主要特点,,"A15 芯片,双摄像头系统",
市场价格,,$799,
"",,2020 年,,,2021 年,
名称,,,,,,
"",销售额,,利润,销售额,,利润
北京,1000,,100,1200,,150
上海,800,,,1000,,120
深圳,1200,,120,2000,,230
类型,水果名称,产地,,详细信息
"",橙子,佛罗里达,$1 - $3/kg,"维生素 C, 钾"
柑橘类,,,,
"",柠檬,加利福尼亚,$1 - $2/kg,"维生素 C, 维生素 B6"
"",红富士,华盛顿州,$2 - $4/kg,"纤维, 维生素 C"
苹果类,,,,
"",青苹果,新西兰,$2 - $3/kg,"纤维, 维生素 C"
"",香蕉,,$0.5 - $1/kg,"钾, 维生素 B6"
热带水果,,,,
"",菠萝,菲律宾,$1 - $2/kg,"维生素 C,锰"
"",蓝莓,缅因州,$3 - $6/kg,"抗氧化剂, 维生素 C"
浆果类,,,,
"",草莓,加利福尼亚,$2 - $5/kg,"抗氧化剂, 铁"
电影名称,导演,发行年份,主要演员,类型,全球票房
"",詹姆斯·卡梅,,莱昂纳多·迪卡普里奥、,,$2.2
《泰坦尼克号》,,1997,,剧情/爱情,
"",隆,,凯特·温丝莱特,,billion
《复仇者联盟 4:终,安东尼·罗,,罗伯特·唐尼、克里,超级英雄/,$2.79
"",,2019,,,
局之战》,素、乔·罗素,,斯·埃文斯,科幻,billion
《星球大战:原力觉,,,黛西·雷德利、约翰·博,,$2.068
"",J.J. 艾布拉姆斯,2015,,科幻/冒险,
醒》,,,耶加,,billion
"",,,,,$1.657
《狮子王》,乔恩·费儒,2019,唐纳德·格洛弗、碧昂斯,动画/冒险,
"",,,,,billion
"",托德·菲利普,,,,$1.074
《小丑》,,2019,杰昆·菲尼克斯,剧情/惊悚,
"",斯,,,,billion
